tier,modifier,count,percentage,per_100k
Tier 1,gluten_free,11558,0.5779147368257891,577.9147368257891
Tier 1,dairy_free,4296,0.21480547753967727,214.80547753967727
Tier 1,kosher,3906,0.19530498027699705,195.30498027699707
Tier 1,vegan,3465,0.1732544179876587,173.25441798765868
Tier 1,vegetarian,1923,0.09615245188752314,96.15245188752314
Tier 1,tree_nut_free,922,0.04610117557997729,46.101175579977294
Tier 1,soy_free,182,0.009100232055917427,9.100232055917427
Tier 1,halal,132,0.006600168304291759,6.600168304291759
Tier 1,egg_free,123,0.006150156828999139,6.1501568289991395
Tier 1,peanut_free,95,0.004750121128088766,4.750121128088766
Tier 1,wheat_free,71,0.0035500905273084466,3.550090527308446
Tier 1,fish_free,15,0.0007500191254877,0.7500191254877
Tier 1,sulfite_free,1,5.0001275032513336e-05,0.05000127503251334
Tier 1,sesame_free,0,0.0,0.0
Tier 1,shellfish_free,0,0.0,0.0
Tier 2,organic,102123,5.106280210145359,5106.280210145359
Tier 2,keto,2737,0.13685348976398898,136.85348976398896
Tier 2,grass_fed,2560,0.12800326408323412,128.00326408323411
Tier 2,cage_free,1370,0.06850174679454327,68.50174679454327
Tier 2,paleo,647,0.032350824946036125,32.35082494603613
Tier 2,pasture_raised,293,0.014650373584526406,14.650373584526406
Tier 2,low_carb,172,0.008600219305592292,8.600219305592292
Tier 2,non_gmo,144,0.00720018360468192,7.20018360468192
Tier 2,low_fodmap,38,0.0019000484512355065,1.9000484512355067
Tier 2,histamine_friendly,0,0.0,0.0
Tier 2,nightshade_free,0,0.0,0.0
